City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
404,Bubaque,GW,77.63,clear sky,11.2833,-15.8333,No hotel found
408,Sumbe,AO,76.71,overcast clouds,-11.2061,13.8437,No hotel found
413,Touros,BR,79.23,broken clouds,-5.1989,-35.4608,No hotel found
415,Ati,TD,70.81,scattered clouds,13.2154,18.3353,No hotel found
421,Sao Geraldo Do Araguaia,BR,70.81,overcast clouds,-6.4006,-48.555,No hotel found
422,Ghanzi,BW,71.2,overcast clouds,-21.5667,21.7833,No hotel found
427,Pascagoula,US,74.12,broken clouds,30.3658,-88.5561,No hotel found
431,Palizada,MX,75.51,scattered clouds,18.25,-92.0833,No hotel found
432,Moron,AR,79.95,overcast clouds,-34.6534,-58.6198,No hotel found
433,Catamarca,AR,80.58,broken clouds,-28.4696,-65.7852,No hotel found
434,Sao Filipe,CV,74.88,clear sky,14.8961,-24.4956,No hotel found
440,Portobelo,PA,78.04,scattered clouds,9.55,-79.65,No hotel found
442,Bosaso,SO,71.78,few clouds,11.2842,49.1816,No hotel found
449,Cairns,AU,83.1,broken clouds,-16.9167,145.7667,No hotel found
454,Tanhacu,BR,70.77,broken clouds,-14.0214,-41.2481,No hotel found
457,Ipixuna,BR,71.29,light rain,-1.7625,-48.8043,No hotel found
462,Nouakchott,MR,71.53,few clouds,18.0858,-15.9785,No hotel found
470,Alvorada,BR,71.24,moderate rain,-12.48,-49.1247,No hotel found
471,Pisco,PE,73.45,mist,-13.7,-76.2167,No hotel found
473,Dubai,AE,71.53,scattered clouds,25.2582,55.3047,No hotel found
476,Labuhan,ID,77.99,overcast clouds,-6.8844,112.2051,No hotel found
479,Te Anau,NZ,74.98,scattered clouds,-45.4167,167.7167,No hotel found
482,Ogbomosho,NG,75.38,clear sky,8.133,4.25,No hotel found
488,Pedernales,DO,74.44,clear sky,18.0384,-71.744,No hotel found
490,Byron Bay,AU,80.71,clear sky,-28.65,153.6167,No hotel found
491,Port Macquarie,AU,81.9,overcast clouds,-31.4333,152.9167,No hotel found
495,Imbituba,BR,72.91,overcast clouds,-28.24,-48.6703,No hotel found
496,Cam Ranh,VN,75.16,scattered clouds,11.9214,109.1591,No hotel found
500,Kotido,UG,73.08,few clouds,2.9806,34.1331,No hotel found
503,Townsville,AU,83.28,scattered clouds,-19.25,146.8,No hotel found
504,Morgan City,US,73.99,few clouds,29.6994,-91.2068,No hotel found
505,Nioro,GM,79.2,clear sky,13.35,-15.75,No hotel found
508,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,No hotel found
511,Nieves,PH,74.71,broken clouds,15.3274,120.9485,No hotel found
513,Veracruz,MX,75.87,few clouds,19.3333,-96.6667,No hotel found
518,Mandiana,GN,74.39,few clouds,10.6333,-8.6833,No hotel found
521,Isangel,VU,77.11,heavy intensity rain,-19.55,169.2667,No hotel found
525,San Carlos Del Zulia,VE,76.91,broken clouds,9.0,-71.9135,No hotel found
527,San Jose De Sisa,PE,82.92,broken clouds,-6.6167,-76.6915,No hotel found
528,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,No hotel found
529,Kandrian,PG,86.38,overcast clouds,-6.2167,149.55,No hotel found
534,Huarmey,PE,71.46,broken clouds,-10.0681,-78.1522,No hotel found
537,Cap Malheureux,MU,78.48,light rain,-19.9842,57.6142,No hotel found
541,Anloga,GH,80.74,broken clouds,5.7947,0.8973,No hotel found
545,Sao Gabriel Da Cachoeira,BR,74.23,overcast clouds,-0.1303,-67.0892,No hotel found
548,Beloha,MG,72.18,clear sky,-25.1667,45.05,No hotel found
549,Tucurui,BR,71.15,overcast clouds,-3.7661,-49.6725,No hotel found
550,Rio Gallegos,AR,73.45,scattered clouds,-51.6226,-69.2181,No hotel found
551,Panama City,PA,82.35,scattered clouds,8.9936,-79.5197,No hotel found
555,Ouallam,NE,70.61,clear sky,14.3188,2.0866,No hotel found
561,Muncar,ID,79.12,overcast clouds,-8.4333,114.3333,No hotel found
565,Makakilo City,US,81.61,clear sky,21.3469,-158.0858,No hotel found
566,Conceicao Do Araguaia,BR,72.1,overcast clouds,-8.2578,-49.2647,No hotel found
574,General Pico,AR,86.79,broken clouds,-35.6566,-63.7568,No hotel found
578,Santa Maria,BR,79.9,few clouds,-29.6842,-53.8069,No hotel found
584,Katherine,AU,80.92,overcast clouds,-14.4667,132.2667,No hotel found
586,Venado Tuerto,AR,79.77,broken clouds,-33.7456,-61.9688,No hotel found
587,Roebourne,AU,82.42,broken clouds,-20.7833,117.1333,No hotel found
590,Upington,ZA,73.78,few clouds,-28.4478,21.2561,No hotel found
592,Ternate,ID,81.05,overcast clouds,0.8,127.4,No hotel found
600,Hobyo,SO,76.05,scattered clouds,5.3505,48.5268,No hotel found
601,Meulaboh,ID,72.03,overcast clouds,4.1363,96.1285,No hotel found
603,Pangkalanbuun,ID,75.09,overcast clouds,-2.6833,111.6167,No hotel found
604,Kapoeta,SS,79.93,broken clouds,4.7717,33.5903,No hotel found
607,Vangaindrano,MG,74.61,light rain,-23.35,47.6,No hotel found
614,Del Rio,US,77.02,clear sky,29.3627,-100.8968,No hotel found
616,Bintulu,MY,75.61,few clouds,3.1667,113.0333,No hotel found
619,Caxito,AO,74.14,overcast clouds,-8.5785,13.6643,No hotel found
620,Acarau,BR,78.44,broken clouds,-2.8856,-40.12,No hotel found
621,Kerema,PG,78.28,overcast clouds,-7.9631,145.7785,No hotel found
623,Manokwari,ID,78.84,overcast clouds,-0.8667,134.0833,No hotel found
625,Palmeirais,BR,73.27,moderate rain,-5.9778,-43.0633,No hotel found
627,Waingapu,ID,80.96,overcast clouds,-9.6567,120.2641,No hotel found
632,Kieta,PG,84.24,light rain,-6.2167,155.6333,No hotel found
635,Xique-Xique,BR,80.76,overcast clouds,-10.8218,-42.7263,No hotel found
637,Port Keats,AU,82.47,overcast clouds,-14.25,129.55,No hotel found
639,Malindi,KE,76.96,overcast clouds,-3.2175,40.1191,No hotel found
642,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,No hotel found
645,Plettenberg Bay,ZA,71.85,broken clouds,-34.0527,23.3716,No hotel found
649,Vao,NC,74.62,broken clouds,-22.6667,167.4833,No hotel found
650,Karratha,AU,83.12,light rain,-20.7377,116.8463,No hotel found
653,Itarema,BR,78.49,broken clouds,-2.9248,-39.9167,No hotel found
655,Monrovia,LR,74.97,overcast clouds,6.3005,-10.7969,No hotel found
659,Cancun,MX,82.06,scattered clouds,21.1743,-86.8466,No hotel found
660,Gorontalo,ID,79.88,broken clouds,0.5412,123.0595,No hotel found
663,Fomboni,KM,81.84,overcast clouds,-12.28,43.7425,No hotel found
667,Tual,ID,83.37,overcast clouds,-5.6667,132.75,No hotel found
669,Pizarro,CO,75.7,moderate rain,4.9533,-77.366,No hotel found
678,Oriximina,BR,71.82,overcast clouds,-1.7656,-55.8661,No hotel found
679,Mecca,SA,71.17,clear sky,21.4267,39.8261,No hotel found
680,Sur,OM,70.99,overcast clouds,22.5667,59.5289,No hotel found
684,Kita,ML,73.38,clear sky,13.0349,-9.4895,No hotel found
686,Cadereyta,MX,78.17,few clouds,25.5833,-99.9833,No hotel found
687,Oranjestad,AW,78.91,few clouds,12.524,-70.027,No hotel found
690,Acapulco,MX,78.19,broken clouds,16.8634,-99.8901,No hotel found
692,Nsoko,SZ,78.06,overcast clouds,-27.0333,31.95,No hotel found
694,Itaituba,BR,71.19,overcast clouds,-4.2761,-55.9836,No hotel found
695,Samarai,PG,83.16,overcast clouds,-10.6167,150.6667,No hotel found
696,Trincomalee,LK,77.63,scattered clouds,8.5711,81.2335,No hotel found
697,Jaque,PA,77.43,overcast clouds,7.5175,-78.1703,No hotel found
705,Yulara,AU,80.17,clear sky,-25.2406,130.9889,No hotel found
711,Pontes E Lacerda,BR,73.04,light rain,-15.2261,-59.3353,No hotel found
716,Orocue,CO,84.15,clear sky,4.7912,-71.3354,No hotel found
717,Cayenne,GF,73.44,light rain,4.9333,-52.3333,No hotel found
